INFO 2025-01-28 01:19:38,547 basehttp "GET /static/admin/img/icon-no.svg HTTP/1.1" 304 0
INFO 2025-01-28 01:19:38,554 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-01-28 01:19:38,562 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 304 0
INFO 2025-01-28 01:19:38,670 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-28 01:19:38,717 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 304 0
INFO 2025-01-28 01:19:38,718 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 304 0
INFO 2025-01-28 01:19:38,718 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 304 0
INFO 2025-01-28 01:20:19,217 audio_record Fetching unprocessed audio records.
INFO 2025-01-28 01:20:50,865 audio_record Updating processed status for AudioRecord 16a65747-c249-471a-9791-24afbc80e1ec.
INFO 2025-01-28 01:20:50,886 audio_record Processed status updated for AudioRecord 16a65747-c249-471a-9791-24afbc80e1ec.
INFO 2025-01-28 01:20:50,886 whisper_transcription Successfully processed audio record ID: 16a65747-c249-471a-9791-24afbc80e1ec
INFO 2025-01-28 01:20:50,886 open_ai Initializing OpenAI request logs.
INFO 2025-01-28 01:20:50,886 audio_record Fetching audio records not sent to OpenAI.
INFO 2025-01-28 01:20:50,901 audio_record Updating sent-to-OpenAI status for AudioRecord 16a65747-c249-471a-9791-24afbc80e1ec.
INFO 2025-01-28 01:20:50,906 audio_record Sent-to-OpenAI status updated for AudioRecord 16a65747-c249-471a-9791-24afbc80e1ec.
INFO 2025-01-28 01:20:50,906 open_ai OpenAI request logs initialized successfully.
INFO 2025-01-28 01:20:50,906 open_ai Fetching pending OpenAI request logs.
INFO 2025-01-28 01:20:50,917 open_ai Processing request log ID: a813e633-5bba-4490-8097-2b9eaeca2290
INFO 2025-01-28 01:20:53,579 open_ai Request log ID a813e633-5bba-4490-8097-2b9eaeca2290 processed with status: SUCCESS
INFO 2025-01-28 01:20:53,596 open_ai Transaction created/updated for request log ID a813e633-5bba-4490-8097-2b9eaeca2290
INFO 2025-01-28 01:21:38,655 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 19095
INFO 2025-01-28 01:21:38,745 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-28 01:22:20,260 basehttp "POST /admin/app/audiorecord/ HTTP/1.1" 200 13463
INFO 2025-01-28 01:22:21,810 basehttp "POST /admin/app/audiorecord/ HTTP/1.1" 302 0
INFO 2025-01-28 01:22:21,900 basehttp "GET /admin/app/audiorecord/ HTTP/1.1" 200 18242
INFO 2025-01-28 01:22:21,986 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-28 01:22:49,492 basehttp "GET /admin/app/audiorecord/67294cdf-19e7-4643-b0ca-66daca1553c6/change/ HTTP/1.1" 200 16018
INFO 2025-01-28 01:22:49,592 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-01-28 01:22:49,654 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
INFO 2025-01-28 01:22:49,664 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2025-01-28 01:22:49,678 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
INFO 2025-01-28 01:22:49,692 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
